"district","hour","act1","act2","act3","act4","act5"
"001","2am",4479.109,82.564224,34.40176,0,75.683872
"002","2am",4128.211,34.40176,0,0,13.760704
"003","2am",4190.134,61.923168,0,0,6.880352
"004","2am",4830.007,13.760704,0,0,34.40176
"005","2am",3914.92,41.282112,0,0,48.162464
"006","2am",4609.836,82.564224,0,0,34.40176
"007","2am",4609.836,6.880352,0,0,20.641056
"008","2am",4864.409,6.880352,0,0,20.641056
"009","2am",4967.614,61.923168,0,0,48.162464
"010","2am",4293.34,48.162464,0,0,55.042816
"011","2am",4651.118,27.521408,0,6.880352,89.444576
"012","2am",4699.28,20.641056,0,0,27.521408
"013","2am",3460.817,20.641056,0,0,0
"014","2am",5084.58,123.846336,0,0,110.085632
"015","2am",4836.887,6.880352,0,0,34.40176
"016","2am",4740.563,13.760704,0,0,13.760704
"017","2am",4265.818,0,0,0,0
"018","2am",4871.289,61.923168,6.880352,0,41.282112
"019","2am",4458.468,27.521408,0,0,13.760704
"020","2am",4795.605,41.282112,0,0,48.162464
"021","2am",4444.707,6.880352,0,0,27.521408
"001","3am",4479.109,89.444576,34.40176,0,61.923168
"002","3am",4128.211,34.40176,0,0,13.760704
"003","3am",4197.015,61.923168,0,0,6.880352
