"district","hour","cs1","cs2","cs3","cs4","cs5"
"028","6pm",0,0,0,0,0
"029","6pm",0,0,0,0,0
"030","6pm",0,0,0,0,0
"031","6pm",0,0,0,0,0
"032","6pm",0,0,0,0,0
"033","6pm",0,0,0,0,0
"034","6pm",0,0,0,0,0
"035","6pm",0,0,0,0,0
"036","6pm",0,0,0,0,0
"037","6pm",0,0,0,0,0
"038","6pm",0,0,0,0,0
"039","6pm",0,0,0,0,0
"040","6pm",0,0,0,0,0
"041","6pm",0,0,0,0,0
"001","7pm",0,0,0,0,0
"002","7pm",0,0,0,0,0
"003","7pm",0,0,0,0,0
"004","7pm",0,0,0,0,0
"005","7pm",0,0,0,0,0
"006","7pm",0,0,0,0,0
"007","7pm",0,0,0,0,0
"008","7pm",0,0,0,0,0
"009","7pm",0,0,0,0,0
"010","7pm",0,0,0,0,0
"011","7pm",0,0,0,0,0
"012","7pm",0,0,0,0,0
"013","7pm",0,0,0,0,0
"014","7pm",0,0,0,0,0
"015","7pm",0,0,0,0,0
"016","7pm",0,0,0,0,0
"017","7pm",0,0,0,0,0
"018","7pm",0,0,0,0,0
"019","7pm",0,0,0,0,0
"020","7pm",0,0,0,0,0
"021","7pm",0,0,0,0,0
"022","7pm",0,0,0,0,0
"023","7pm",0,0,0,0,0
"024","7pm",0,0,0,0,0
"025","7pm",0,0,0,0,0
"026","7pm",0,0,0,0,0
"027","7pm",0,0,0,0,0
"028","7pm",0,0,0,0,0
"029","7pm",0,0,0,0,0
"030","7pm",0,0,0,0,0
"031","7pm",0,0,0,0,0
"032","7pm",0,0,0,0,0
"033","7pm",0,0,0,0,0
"034","7pm",0,0,0,0,0
"035","7pm",0,0,0,0,0
"036","7pm",0,0,0,0,0
"037","7pm",0,0,0,0,0
"038","7pm",0,0,0,0,0
"039","7pm",0,0,0,0,0
"040","7pm",0,0,0,0,0
"041","7pm",0,0,0,0,0
"001","8pm",0,0,0,0,0
"002","8pm",0,0,0,0,0
"003","8pm",0,0,0,0,0
"004","8pm",0,0,0,0,0
"005","8pm",0,0,0,0,0
"006","8pm",0,0,0,0,0
"007","8pm",0,0,0,0,0
"008","8pm",0,0,0,0,0
"009","8pm",0,0,0,0,0
"010","8pm",0,0,0,0,0
"011","8pm",0,0,0,0,0
"012","8pm",0,0,0,0,0
"013","8pm",0,0,0,0,0
"014","8pm",0,0,0,0,0
"015","8pm",0,0,0,0,0
"016","8pm",0,0,0,0,0
"017","8pm",0,0,0,0,0
"018","8pm",0,0,0,0,0
"019","8pm",0,0,0,0,0
"020","8pm",0,0,0,0,0
"021","8pm",0,0,0,0,0
"022","8pm",0,0,0,0,0
"023","8pm",0,0,0,0,0
"024","8pm",0,0,0,0,0
"025","8pm",0,0,0,0,0
"026","8pm",0,0,0,0,0
"027","8pm",0,0,0,0,0
"028","8pm",0,0,0,0,0
"029","8pm",0,0,0,0,0
"030","8pm",0,0,0,0,0
"031","8pm",0,0,0,0,0
"032","8pm",0,0,0,0,0
"033","8pm",0,0,0,0,0
"034","8pm",0,0,0,0,0
"035","8pm",0,0,0,0,0
